_id,className,subject,topicId,moduleId,topicName,moduleName,questionType,questionText,hint,keyWords,modelAnswer,keyPoints,referenceDrawing
q_heart_1,10,Science,t1,m1,Life Processes,Human Circulatory System,Descriptive / Drawing,"Draw a neat, clean, well-spaced outline vector diagram of the human heart showing all four chambers and major blood vessels without text labels.",Keep lines spacious and clear with leader lines pointing outwards.,atrium;ventricle;valve;aorta;vena cava,The human heart is a muscular four-chambered organ that circulates blood.,Right and left atria;Right and left ventricles;Aorta and Vena Cava;Clear structural spacing,
q_math_graph_2,10,Mathematics,t2,m2,Coordinate Geometry,Linear Equations Graph,Descriptive / Drawing,Draw a clear Cartesian coordinate plane graph showing the intersection lines for equations 2x + y = 6 and 4x - 2y = 4.,Plot intercepts for both lines cleanly on an axes grid.,intercept;intersection;axis;coordinates,The lines intersect at a specific coordinate point on the grid.,X and Y axes grid;Accurate intercept plotting;Clean intersection point,
q_math_geom_3,10,Mathematics,t3,m3,Geometry,Circle Tangents,Descriptive / Drawing,Draw a geometric diagram of a circle with a center O and two tangents drawn from an external point P.,Ensure tangent lines meet radii at 90-degree right angles.,tangent;radius;perpendicular;external point,Tangents drawn from an external point to a circle are equal in length.,Circle with center O;External point P;Perpendicular radius lines,
q_chem_4,10,Chemistry,t4,m4,Chemical Reactions,Electrolysis of Water,Descriptive / Drawing,Draw a clean schematic diagram of the experimental setup for the electrolysis of water.,"Include test tubes, carbon electrodes, 6V battery, and water container.",cathode;anode;oxygen;hydrogen;battery,Water breaks down into hydrogen and oxygen gases through electric current.,Two inverted test tubes;Carbon electrodes;Dilute acidulated water setup,
q_phys_5,10,Physics,t5,m5,Light and Optics,Concave Mirror Ray Diagram,Descriptive / Drawing,Draw a ray diagram showing image formation by a concave mirror when an object is placed between focus F and center of curvature C.,"Show principal axis, focus F, center C, and real inverted magnified image.",focus;center of curvature;principal axis;real image,"When object lies between F and C, a real, inverted and enlarged image is formed beyond C.",Principal axis and mirror curvature;Incident and reflected rays;Enlarged real image beyond C,
q_map_6,10,Geography,t6,m6,Indian Geography,Outline Map of India,Descriptive / Drawing,Draw a clean outline vector map of India highlighting major mountain ranges and river systems without text labels.,Keep borders minimal and spacious.,Himalayas;Ganges;Peninsular Plateau;Coastline,India features diverse physical divisions including northern mountains and peninsular rivers.,Clear peninsula outline;Northern mountain arc;Major river basins,
q_map_7,9,Geography,t7,m7,World Geography,World Continents Outline,Descriptive / Drawing,Draw a clean schematic vector outline of the major world continents and Equator line.,Focus on clean continental boundaries.,continents;equator;oceans;hemispheres,The world map displays continents separated by major oceans.,Major continental blocks;Equator reference line;Clean spacious layout,
q_chem_8,10,Chemistry,t8,m8,Acid Bases and Salts,pH Scale Theory,Theory / MCQ,What is the pH value of a neutral solution at standard laboratory temperature?,Pure water has this neutral pH value.,pH;neutral;seven;hydrogen ions,The pH of a neutral solution is exactly 7.,Neutral value is 7;Scale ranges from 0 to 14,
q_phys_9,10,Physics,t9,m9,Electricity,Ohm's Law Theory,Theory / MCQ,"State Ohm's Law and write down the mathematical formula relating potential difference, current, and resistance.",V equals product of current and resistance.,voltage;current;resistance;V=IR,Ohm's law states that current through a conductor is directly proportional to voltage.,Formula V = IR;Constant temperature condition;Linear proportionality,
q_bio_10,10,Science,t10,m10,Heredity,Mendel Cross Theory,Theory / MCQ,Explain monohybrid cross phenotypic ratio in F2 generation as discovered by Gregor Mendel.,Think about dominant and recessive traits in pea plants (3:1 ratio).,phenotypic ratio;monohybrid;dominant;recessive,The phenotypic ratio in a monohybrid cross F2 generation is 3:1.,Dominant to recessive ratio;3:1 phenotype;1:2:1 genotype,
